日期,原料,投入重量(kg),果皮重量(kg),不良品重量(kg),果肉成品重量(kg),班別,步留率(%)
2026-04-17,鳳梨,218,66.1,18.9,133,食品一班,61.01
2026-04-13,芒果,226,31.7,10.2,184.1,食品三班,81.46
2026-03-22,草莓,435,32.9,9.3,392.8,食品二班,90.3
2026-01-30,柚子,171,61.5,10.3,99.2,食品二班,58.01
2026-05-28,蘋果,365,28.8,11.3,324.9,食品三班,89.01
2026-05-26,奇異果,354,50.2,10.3,293.5,食品二班,82.91
2026-01-03,草莓,416,30.5,11.5,374,食品三班,89.9
2026-05-30,芒果,308,50.5,8.7,248.8,食品三班,80.78
2026-05-09,草莓,482,47.8,11.8,422.4,食品一班,87.63
2026-02-14,奇異果,488,95.8,25.1,367.1,食品三班,75.23
2026-02-09,柚子,347,106.3,19.7,221,食品一班,63.69
2026-04-15,柚子,227,74.4,11.1,141.5,食品二班,62.33
2026-05-07,柚子,441,139.1,40.3,261.6,食品一班,59.32
2026-04-20,柚子,366,108.9,31.7,225.4,食品二班,61.58
2026-01-08,蘋果,219,23.5,2.7,192.8,食品一班,88.04
2026-01-21,奇異果,451,61.1,11.3,378.6,食品一班,83.95
2026-02-09,柚子,262,79.6,12.4,170,食品二班,64.89
2026-04-25,鳳梨,267,87.5,14.9,164.6,食品二班,61.65
2026-03-13,蘋果,435,33,13.8,388.2,食品一班,89.24
2026-02-20,芒果,439,87.8,19,332.2,食品二班,75.67
2026-03-29,芒果,378,65.4,14.8,297.8,食品一班,78.78
2026-04-24,芒果,135,28.6,4.3,102.1,食品二班,75.63
2026-02-25,蘋果,155,17.9,2.3,134.8,食品三班,86.97
2026-01-23,草莓,159,15.7,4.6,138.7,食品三班,87.23
2026-02-05,奇異果,397,69,27.9,300.1,食品三班,75.59
2026-05-25,柚子,485,165.2,20.7,299.1,食品二班,61.67
2026-02-20,蘋果,493,43.2,9.5,440.3,食品二班,89.31
2026-01-04,芒果,164,29.2,11.3,123.5,食品一班,75.3
2026-03-02,草莓,230,20.1,3.4,206.5,食品一班,89.78
2026-01-19,奇異果,342,56.4,10.9,274.7,食品三班,80.32
2026-04-14,鳳梨,192,71.9,11.1,109,食品一班,56.77
2026-05-19,草莓,147,14.3,3.5,129.2,食品二班,87.89
2026-04-06,蘋果,383,46.7,7.1,329.2,食品三班,85.95
2026-05-21,芒果,267,41,14.8,211.2,食品二班,79.1
2026-04-19,芒果,198,41.3,4.9,151.8,食品一班,76.67
2026-04-17,柚子,386,118.1,44.3,223.6,食品一班,57.93
2026-02-02,芒果,107,15.8,4.2,87,食品二班,81.31
2026-04-17,柚子,419,139,23.9,256.1,食品一班,61.12
2026-03-03,柚子,257,82.6,26.7,147.7,食品一班,57.47
2026-02-06,柚子,376,124.3,43.1,208.6,食品一班,55.48
2026-05-22,芒果,312,55.3,7.3,249.4,食品一班,79.94
2026-02-03,芒果,500,77.5,15.3,407.2,食品二班,81.44
2026-04-05,奇異果,180,28.8,8.3,142.9,食品三班,79.39
2026-02-20,芒果,281,46.5,17,217.5,食品三班,77.4
2026-01-10,蘋果,110,12.2,4.2,93.6,食品三班,85.09
2026-01-03,奇異果,253,46.8,7,199.2,食品二班,78.74
2026-02-18,芒果,279,49.9,18.3,210.8,食品二班,75.56
2026-05-28,柚子,453,112.8,47.7,292.5,食品三班,64.57
2026-03-13,柚子,436,155,36,245,食品一班,56.19
2026-04-02,奇異果,244,39.5,10.5,194,食品一班,79.51
2026-01-23,芒果,203,30.1,9.8,163.1,食品三班,80.34
2026-02-07,蘋果,194,21.7,5.4,166.9,食品三班,86.03
2026-03-09,草莓,391,26.3,6.4,358.3,食品二班,91.64
2026-05-19,蘋果,172,20.6,2.4,149,食品一班,86.63
2026-05-08,蘋果,453,39.8,6.1,407.1,食品一班,89.87
2026-05-14,草莓,375,45.3,5.7,324,食品一班,86.4
2026-03-25,奇異果,265,39.4,15.6,210,食品二班,79.25
2026-05-26,柚子,277,81,16,180,食品二班,64.98
2026-04-23,芒果,329,65.6,10.6,252.8,食品三班,76.84
2026-04-05,芒果,162,25.1,7.3,129.6,食品一班,80
2026-05-07,芒果,436,69.8,23.3,342.9,食品一班,78.65
2026-03-10,草莓,439,37.7,14.4,386.9,食品二班,88.13
2026-02-02,奇異果,239,30.6,9.2,199.2,食品一班,83.35
2026-01-12,蘋果,365,33.5,4.6,326.9,食品一班,89.56
2026-03-21,奇異果,485,95.8,15.7,373.5,食品二班,77.01
2026-02-04,芒果,396,68.5,21,306.5,食品三班,77.4
2026-01-14,柚子,199,74.4,13.4,111.2,食品一班,55.88
2026-04-06,柚子,368,119.1,15.9,233,食品二班,63.32
2026-05-30,柚子,210,64.7,17.7,127.6,食品三班,60.76
2026-01-02,草莓,113,10.6,3.5,98.9,食品三班,87.52
2026-01-28,奇異果,111,15.5,3.4,92.1,食品二班,82.97
2026-02-07,芒果,355,60,25.4,269.6,食品三班,75.94
2026-01-03,芒果,121,20.9,6.9,93.2,食品一班,77.02
2026-01-17,奇異果,212,36.6,11.1,164.3,食品二班,77.5
2026-01-12,芒果,410,61.6,24.4,324,食品一班,79.02
2026-02-04,芒果,177,38.7,5.5,132.8,食品二班,75.03
2026-02-28,奇異果,357,63.6,14,279.4,食品一班,78.26
2026-04-08,奇異果,316,45.6,15.2,255.2,食品三班,80.76
2026-05-19,蘋果,346,32.8,13.6,299.6,食品二班,86.59
2026-02-06,奇異果,395,73.3,20.8,300.9,食品三班,76.18
2026-03-11,蘋果,313,26.1,9.9,277,食品三班,88.5
2026-03-26,鳳梨,424,151.5,33.9,238.6,食品一班,56.27
2026-02-24,草莓,367,37.2,14.7,315.1,食品三班,85.86
2026-05-22,奇異果,143,23.4,3.2,116.4,食品一班,81.4
2026-02-07,柚子,183,64,9.5,109.5,食品三班,59.84
2026-03-22,芒果,130,18.1,6.2,105.7,食品三班,81.31
2026-04-22,柚子,472,132.9,51.4,287.7,食品一班,60.95
2026-01-15,鳳梨,154,46.9,17,90.1,食品一班,58.51
2026-03-10,芒果,477,78.6,18.4,380,食品二班,79.66
2026-05-05,柚子,310,82.8,34.1,193.1,食品三班,62.29
2026-01-08,蘋果,301,30.7,4.7,265.6,食品二班,88.24
2026-05-11,柚子,375,123.6,17.5,233.9,食品一班,62.37
2026-04-13,奇異果,117,20.4,8.2,88.4,食品三班,75.56
2026-05-11,奇異果,319,56,10.4,252.6,食品三班,79.18
2026-03-20,草莓,324,27.1,5.9,291,食品二班,89.81
2026-02-16,草莓,134,12.5,5.2,116.3,食品二班,86.79
2026-04-13,鳳梨,326,99.1,16.2,210.7,食品二班,64.63
2026-02-16,草莓,478,55.3,9,413.7,食品二班,86.55
2026-03-16,鳳梨,265,101.2,14.4,149.4,食品二班,56.38
2026-02-23,奇異果,482,63.2,10.1,408.7,食品一班,84.79
2026-03-01,柚子,244,72.8,27,144.2,食品二班,59.1
2026-05-05,奇異果,116,16.4,3.1,96.5,食品三班,83.19
2026-02-23,草莓,207,20.4,7.8,178.8,食品二班,86.38
2026-04-27,鳳梨,387,125.6,16.2,245.2,食品一班,63.36
2026-01-27,鳳梨,211,66.6,27.2,117.2,食品二班,55.55
2026-02-18,草莓,108,9.7,2,96.3,食品一班,89.17
2026-04-08,奇異果,452,94.8,14.3,342.9,食品三班,75.86
2026-02-06,草莓,249,28.8,3.7,216.5,食品一班,86.95
2026-05-12,柚子,223,66.1,13.7,143.2,食品二班,64.22
2026-05-06,鳳梨,347,94.1,39.4,213.5,食品三班,61.53
2026-03-21,草莓,139,17,3.8,118.2,食品三班,85.04
2026-01-09,奇異果,320,44.7,17,258.3,食品二班,80.72
2026-04-20,蘋果,264,29.5,8.3,226.2,食品二班,85.68
2026-05-25,草莓,203,13.9,2.9,186.2,食品二班,91.72
2026-01-01,鳳梨,320,102,16.6,201.4,食品一班,62.94
2026-04-03,草莓,378,27.3,4.7,346,食品二班,91.53
2026-01-30,草莓,167,16.1,2.5,148.4,食品二班,88.86
2026-01-01,柚子,397,120.7,20.2,256.1,食品一班,64.51
2026-04-28,柚子,316,99.2,14.7,202.1,食品三班,63.96
2026-05-11,鳳梨,267,81.5,31.2,154.3,食品三班,57.79
2026-05-04,奇異果,218,30.7,5.2,182.1,食品一班,83.53
2026-04-09,鳳梨,129,41.7,8.1,79.2,食品三班,61.4
2026-05-27,蘋果,354,40.2,6.8,307,食品二班,86.72
2026-02-24,奇異果,254,29,10.4,214.6,食品三班,84.49
2026-03-06,芒果,334,57.7,16.8,259.5,食品三班,77.69
2026-05-22,奇異果,239,34.5,11.5,193,食品一班,80.75
2026-03-01,草莓,272,26.7,7.5,237.8,食品一班,87.43
2026-05-08,奇異果,254,47.4,14,192.6,食品一班,75.83
2026-03-28,芒果,249,48.6,13.1,187.3,食品三班,75.22
2026-02-26,鳳梨,147,45.4,18.1,83.5,食品三班,56.8
2026-05-24,芒果,287,52.1,8.1,226.8,食品二班,79.02
2026-02-09,草莓,162,16.1,6,139.9,食品一班,86.36
2026-04-06,蘋果,441,44.1,13.8,383.1,食品一班,86.87
2026-01-04,草莓,429,45.1,13.3,370.6,食品三班,86.39
2026-03-20,奇異果,272,37.6,12.6,221.8,食品三班,81.54
2026-03-16,草莓,440,30.5,12.4,397.1,食品三班,90.25
2026-05-16,草莓,386,33,7,346,食品三班,89.64
2026-05-11,鳳梨,170,53.8,18.6,97.6,食品一班,57.41
2026-04-03,鳳梨,221,72.8,14.2,134,食品三班,60.63
2026-05-15,草莓,486,41.3,6.9,437.8,食品一班,90.08
2026-02-02,奇異果,107,14,4.2,88.8,食品一班,82.99
2026-03-18,奇異果,222,29.3,8.5,184.2,食品一班,82.97
2026-04-28,芒果,167,26.8,5.3,134.9,食品一班,80.78
2026-01-12,蘋果,119,9.9,2.1,107,食品三班,89.92
2026-05-09,芒果,170,29.7,8.8,131.5,食品二班,77.35
2026-05-07,柚子,249,88.3,19.8,140.9,食品三班,56.59
2026-05-16,鳳梨,163,44.4,14.9,103.7,食品二班,63.62
2026-03-10,芒果,263,41.9,13.4,207.7,食品三班,78.97
2026-01-26,芒果,344,52.1,12,279.9,食品二班,81.37
2026-05-05,芒果,197,37.1,11.6,148.3,食品二班,75.28
2026-01-27,蘋果,131,13.1,1.9,116,食品一班,88.55
2026-04-12,芒果,224,33,10.3,180.7,食品一班,80.67
2026-03-16,鳳梨,464,167.2,36.8,260,食品一班,56.03
2026-05-07,柚子,398,119.5,50.9,227.6,食品一班,57.19
2026-04-02,鳳梨,397,111.1,30.9,255,食品二班,64.23
2026-04-02,柚子,486,149.3,47.2,289.5,食品一班,59.57
2026-01-10,蘋果,314,27.1,6.8,280.1,食品一班,89.2
2026-03-17,柚子,106,33.7,4.4,67.9,食品一班,64.06
2026-02-16,柚子,108,38.5,4.6,64.9,食品一班,60.09
2026-03-19,蘋果,331,37.5,6.8,286.7,食品一班,86.62
2026-02-15,鳳梨,172,48.5,19.7,103.8,食品一班,60.35
2026-02-02,蘋果,426,45.9,14.7,365.4,食品三班,85.77
2026-05-27,草莓,156,11.2,1.7,143.1,食品三班,91.73
2026-04-04,奇異果,131,16.4,3.6,111,食品一班,84.73
2026-05-09,奇異果,439,79.5,18.7,340.8,食品三班,77.63
2026-05-07,奇異果,291,63.5,8.1,219.4,食品三班,75.4
2026-05-11,柚子,103,38.1,7.3,57.6,食品一班,55.92
2026-05-13,柚子,486,189.9,26.7,269.4,食品二班,55.43
2026-04-18,蘋果,372,44.7,7.5,319.8,食品三班,85.97
2026-04-11,芒果,199,25.6,10.9,162.5,食品二班,81.66
2026-01-31,柚子,274,86.6,13.4,174,食品一班,63.5
2026-02-05,芒果,500,85.6,26.6,387.8,食品三班,77.56
2026-03-19,鳳梨,103,32.5,11.7,58.8,食品二班,57.09
2026-03-28,蘋果,291,29.9,11.9,249.2,食品二班,85.64
2026-03-01,鳳梨,475,143.8,57.9,273.3,食品二班,57.54
2026-02-28,芒果,339,65.9,8.2,264.9,食品三班,78.14
2026-01-03,柚子,414,119.5,39.6,254.9,食品二班,61.57
2026-03-03,奇異果,125,19.8,4.2,101,食品一班,80.8
2026-02-23,草莓,255,18.3,4.2,232.5,食品一班,91.18
2026-02-21,芒果,255,41.3,12.4,201.3,食品二班,78.94
2026-04-24,草莓,366,40.6,4.9,320.5,食品三班,87.57
2026-02-15,蘋果,310,29.7,8,272.3,食品二班,87.84
2026-05-25,柚子,468,158.2,49.8,260,食品一班,55.56
2026-04-13,蘋果,188,22.1,4.3,161.6,食品二班,85.96
2026-05-17,奇異果,461,58.8,19.6,382.6,食品二班,82.99
2026-01-13,芒果,252,46.3,13.4,192.3,食品二班,76.31
2026-01-25,草莓,317,34,10.1,272.9,食品三班,86.09
2026-01-02,奇異果,489,78.3,27.1,383.6,食品二班,78.45
2026-02-28,鳳梨,322,91.2,22.9,207.9,食品一班,64.57
2026-03-28,草莓,226,22.1,7.4,196.5,食品一班,86.95
2026-01-03,柚子,369,108.8,26.2,234,食品二班,63.41
2026-02-04,蘋果,387,38.3,14.4,334.3,食品三班,86.38
2026-05-30,芒果,247,47.4,13.6,186,食品一班,75.3
2026-05-03,鳳梨,419,156.6,28,234.4,食品三班,55.94
2026-02-14,奇異果,110,17.9,5,87.1,食品一班,79.18
2026-03-11,草莓,342,30.6,4.7,306.7,食品一班,89.68
2026-02-01,蘋果,215,18.9,6.1,190,食品一班,88.37
2026-02-20,蘋果,405,44,15.7,345.3,食品一班,85.26
2026-02-15,鳳梨,136,42.6,6.4,87,食品三班,63.97
2026-02-07,鳳梨,381,122.3,13.8,244.9,食品三班,64.28
2026-04-17,柚子,459,165.1,21.6,272.3,食品二班,59.32
2026-03-03,奇異果,150,19.9,3.2,126.9,食品一班,84.6
2026-03-18,蘋果,342,33.2,11.8,297,食品一班,86.84
2026-04-24,奇異果,281,31.1,12.4,237.5,食品三班,84.52
2026-05-09,芒果,379,52.3,17.1,309.6,食品三班,81.69
2026-01-15,蘋果,328,27,6.7,294.3,食品三班,89.73
2026-02-06,芒果,127,21.9,3.7,101.4,食品一班,79.84
2026-02-05,蘋果,144,18.7,2.8,122.5,食品一班,85.07
2026-01-26,鳳梨,187,68.6,12.2,106.2,食品一班,56.79
2026-03-19,奇異果,216,29.3,6.3,180.4,食品二班,83.52
2026-03-20,奇異果,369,45.5,17.5,306,食品三班,82.93
2026-03-18,柚子,168,60.1,10.2,97.7,食品二班,58.15
2026-04-12,柚子,437,160.4,31,245.6,食品二班,56.2
2026-05-15,蘋果,289,34.7,7.1,247.2,食品二班,85.54
2026-03-05,鳳梨,346,102.1,32,211.9,食品二班,61.24
2026-05-19,鳳梨,250,77.5,11.5,161,食品三班,64.4
2026-03-31,奇異果,409,68.2,20.3,320.5,食品三班,78.36
2026-03-13,芒果,383,57,15.2,310.8,食品三班,81.15
2026-04-26,奇異果,441,59.4,21,360.6,食品二班,81.77
2026-05-29,草莓,228,20.1,7,200.9,食品二班,88.11
2026-04-04,芒果,274,52.6,11.1,210.3,食品一班,76.75
2026-01-31,草莓,187,16.7,6.3,164,食品一班,87.7
2026-04-04,鳳梨,409,134.2,28.1,246.7,食品三班,60.32
2026-01-23,奇異果,496,87,26.4,382.6,食品一班,77.14
2026-01-04,鳳梨,209,66.6,12,130.4,食品一班,62.39
2026-01-01,鳳梨,406,126.2,39.4,240.4,食品二班,59.21
2026-05-25,草莓,493,29.5,11.3,452.2,食品二班,91.72
2026-03-16,奇異果,394,63.7,8.4,321.9,食品三班,81.7
2026-01-06,草莓,199,15.5,3.7,179.8,食品一班,90.35
2026-03-30,柚子,109,31.1,8.7,69.2,食品一班,63.49
2026-04-10,奇異果,359,45.5,16,297.5,食品一班,82.87
2026-05-12,蘋果,153,15.2,4,133.8,食品三班,87.45
2026-01-30,鳳梨,453,156.9,32.2,263.9,食品二班,58.26
2026-04-13,奇異果,408,70.7,8.3,329,食品三班,80.64
2026-04-16,芒果,283,49.3,14.3,219.4,食品二班,77.53
2026-01-27,蘋果,466,38,11.2,416.8,食品二班,89.44
2026-01-14,奇異果,277,54.7,12.1,210.2,食品一班,75.88
2026-03-21,柚子,400,119.4,21.7,258.9,食品三班,64.72
2026-04-28,鳳梨,447,145.9,32,269.1,食品二班,60.2
2026-03-19,草莓,263,30.2,9,223.8,食品二班,85.1
2026-04-25,芒果,240,45.1,11.9,183,食品一班,76.25
2026-01-01,草莓,168,19.7,2.4,145.9,食品一班,86.85
2026-05-26,鳳梨,367,115.8,14.7,236.5,食品一班,64.44
2026-05-16,鳳梨,382,125.2,32,224.8,食品一班,58.85
2026-05-25,奇異果,389,58.7,16.7,313.6,食品三班,80.62
2026-04-04,芒果,467,94.6,10.7,361.7,食品一班,77.45
2026-02-20,蘋果,452,37.3,9.3,405.4,食品三班,89.69
2026-02-09,芒果,100,18.5,4.8,76.7,食品三班,76.7
2026-01-30,柚子,256,83.2,10.3,162.5,食品二班,63.48
2026-05-04,柚子,389,122.3,32.1,234.6,食品二班,60.31
2026-05-08,芒果,191,33.9,6.9,150.2,食品三班,78.64
2026-04-08,芒果,271,42.7,12.4,215.9,食品三班,79.67
2026-01-19,蘋果,314,40.5,5.8,267.7,食品一班,85.25
2026-04-05,蘋果,286,35.5,4.2,246.3,食品一班,86.12
2026-03-03,草莓,456,39.3,16.2,400.5,食品三班,87.83
2026-04-11,草莓,378,41.1,5.7,331.2,食品三班,87.62
2026-03-13,鳳梨,299,107.2,20.9,170.9,食品三班,57.16
2026-02-21,奇異果,355,61.9,20.1,273,食品一班,76.9
2026-05-18,蘋果,243,24.8,3.2,215,食品一班,88.48
2026-05-05,草莓,305,35.5,7.2,262.3,食品一班,86
2026-03-09,柚子,357,119.7,24.1,213.2,食品一班,59.72
2026-02-24,奇異果,264,44.3,17.6,202.1,食品三班,76.55
2026-04-23,奇異果,262,41.8,13.6,206.6,食品三班,78.85
2026-01-21,柚子,197,60.4,9.2,127.4,食品一班,64.67
2026-03-09,芒果,232,47.9,7.5,176.6,食品三班,76.12
2026-02-21,鳳梨,460,164.2,34.5,261.3,食品三班,56.8
2026-01-07,鳳梨,121,36.7,14.1,70.2,食品三班,58.02
2026-02-17,柚子,136,38.6,12.3,85.1,食品二班,62.57
2026-02-20,蘋果,444,36.2,10.1,397.7,食品一班,89.57
2026-01-23,芒果,437,79.8,17.1,340.1,食品一班,77.83
2026-05-19,蘋果,173,14.6,4.4,154,食品二班,89.02
2026-01-29,奇異果,480,63.2,16.5,400.3,食品三班,83.4
2026-02-22,芒果,453,68.4,17.3,367.3,食品二班,81.08
2026-04-23,柚子,486,162.7,42.8,280.5,食品三班,57.72
2026-03-26,蘋果,303,35.7,7,260.3,食品一班,85.91
2026-03-07,柚子,404,139.3,37.2,227.5,食品三班,56.31
2026-02-18,草莓,388,39.3,16.2,332.5,食品二班,85.7
2026-04-10,柚子,472,147.6,39.3,285.1,食品一班,60.4
2026-01-13,鳳梨,304,105.4,21.5,177.1,食品三班,58.26
2026-05-07,奇異果,116,18,5.1,92.9,食品三班,80.09
2026-03-04,草莓,312,33.6,11.3,267.1,食品一班,85.61
2026-04-27,鳳梨,461,135.5,30,295.5,食品二班,64.1
2026-01-11,奇異果,152,24.2,8.4,119.4,食品二班,78.55
2026-03-08,蘋果,433,45.4,18.6,369,食品一班,85.22
2026-04-07,草莓,375,30.1,7.3,337.6,食品一班,90.03
2026-05-24,柚子,361,113.9,31.1,216,食品二班,59.83
2026-02-11,柚子,216,55.7,21.7,138.6,食品二班,64.17
2026-04-03,奇異果,401,54.4,13.2,333.4,食品三班,83.14
2026-01-21,蘋果,377,32.9,10.6,333.5,食品二班,88.46
2026-03-12,蘋果,149,15.5,5.6,127.9,食品三班,85.84
2026-05-30,蘋果,313,29,3.3,280.7,食品三班,89.68
2026-01-08,草莓,339,29.6,10,299.4,食品三班,88.32
2026-01-16,奇異果,284,47.1,18.3,218.6,食品三班,76.97
2026-05-06,柚子,428,146.8,45.7,235.5,食品一班,55.02
2026-04-29,芒果,202,34,5.8,162.2,食品二班,80.3
2026-03-14,芒果,432,70.5,15.5,346,食品一班,80.09
2026-05-14,鳳梨,211,69.6,20,121.4,食品二班,57.54
2026-03-26,芒果,123,20.7,8.1,94.2,食品二班,76.59
2026-02-15,草莓,329,32,13.3,283.7,食品三班,86.23
2026-01-10,奇異果,425,59.4,15.8,349.8,食品一班,82.31
2026-02-25,草莓,367,40.8,8.5,317.7,食品二班,86.57
2026-02-14,柚子,243,85.6,23.5,133.9,食品三班,55.1
2026-01-19,草莓,185,14.7,5.9,164.4,食品三班,88.86
2026-05-09,芒果,111,21.3,5.3,84.4,食品一班,76.04
2026-03-23,蘋果,260,30.4,3.6,226,食品一班,86.92
2026-04-11,蘋果,303,28.9,7,267.1,食品二班,88.15
2026-01-09,芒果,317,57.8,6.6,252.6,食品二班,79.68
2026-03-27,鳳梨,103,32.7,8.5,61.8,食品三班,60
2026-05-16,芒果,416,79.2,12,324.8,食品二班,78.08
2026-05-07,芒果,169,29.5,7.3,132.2,食品三班,78.22
2026-03-26,草莓,419,33.2,11.3,374.5,食品二班,89.38
2026-03-17,柚子,448,129.3,35.4,283.3,食品三班,63.24
2026-04-13,蘋果,139,15.1,4.7,119.2,食品三班,85.76
2026-01-09,奇異果,219,38.6,13.2,167.2,食品二班,76.35
2026-02-12,芒果,466,98.9,12.5,354.6,食品二班,76.09
2026-05-10,芒果,330,54.2,17.1,258.7,食品一班,78.39
2026-03-26,草莓,168,12.4,1.8,153.8,食品二班,91.55
2026-02-14,鳳梨,400,143.5,30.5,226,食品二班,56.5
2026-05-29,奇異果,252,50.8,11.5,189.7,食品三班,75.28
2026-04-16,草莓,379,40.7,10.7,327.6,食品三班,86.44
2026-03-03,草莓,100,12,2.1,85.9,食品一班,85.9
2026-05-18,奇異果,331,40.7,13.3,277,食品一班,83.69
2026-05-13,芒果,474,74.4,16.8,382.8,食品二班,80.76
2026-05-04,柚子,316,96.8,26.9,192.3,食品二班,60.85
2026-04-16,草莓,497,64.8,9.2,423,食品二班,85.11
2026-04-04,草莓,500,46.8,9.3,443.9,食品二班,88.78
2026-01-06,草莓,161,17.6,2.8,140.6,食品二班,87.33
2026-02-08,草莓,197,22.9,2.9,171.2,食品二班,86.9
2026-01-23,芒果,493,84,21.8,387.2,食品三班,78.54
2026-01-24,柚子,272,80,18.9,173.1,食品一班,63.64
2026-05-18,柚子,219,60.6,25.3,133.1,食品一班,60.78
2026-03-26,奇異果,195,28.4,4.1,162.5,食品一班,83.33
2026-02-24,草莓,209,16.9,6.7,185.4,食品三班,88.71
2026-05-02,柚子,182,46.6,17.1,118.3,食品二班,65
2026-04-21,芒果,146,21.3,5.8,118.9,食品三班,81.44
2026-01-20,鳳梨,176,63.3,12.2,100.5,食品三班,57.1
2026-01-09,鳳梨,207,65.7,10.7,130.6,食品一班,63.09
2026-05-22,柚子,207,72.3,14.2,120.5,食品一班,58.21
2026-03-11,柚子,103,31.1,6.4,65.5,食品二班,63.59
2026-01-10,柚子,167,56,7.9,103.1,食品一班,61.74
2026-02-20,奇異果,240,34.9,4.7,200.4,食品一班,83.5
2026-02-18,芒果,338,53.7,17.5,266.8,食品三班,78.93
2026-03-14,柚子,408,105.4,43,259.6,食品一班,63.63
2026-01-13,草莓,312,24.1,3,284.9,食品二班,91.31
2026-04-15,芒果,191,37.2,5.5,148.3,食品二班,77.64
2026-05-21,草莓,354,38.2,10.8,305,食品一班,86.16
2026-01-01,柚子,406,131.6,49.8,224.6,食品三班,55.32
2026-02-18,鳳梨,230,75.7,9.2,145.1,食品三班,63.09
2026-01-10,蘋果,372,42.9,12.2,316.9,食品三班,85.19
2026-04-27,蘋果,460,58.6,10.1,391.3,食品一班,85.07
2026-04-14,芒果,329,47.6,19,262.4,食品一班,79.76
2026-04-28,鳳梨,266,72.6,25.7,167.7,食品三班,63.05
2026-04-11,柚子,460,163.8,43.2,253,食品二班,55
2026-05-25,鳳梨,215,65.7,19.3,130,食品一班,60.47
2026-02-04,鳳梨,301,103.1,20.9,177,食品三班,58.8
2026-05-05,奇異果,195,25.6,5.7,163.7,食品三班,83.95
2026-02-26,奇異果,219,40.3,13.8,164.9,食品三班,75.3
2026-03-30,鳳梨,329,104.2,36.6,188.2,食品二班,57.2
2026-04-15,蘋果,454,40.4,10.2,403.4,食品三班,88.85
2026-05-13,柚子,363,100.2,36.4,226.4,食品二班,62.37
2026-05-22,蘋果,130,10.5,3.8,115.7,食品三班,89
2026-03-01,柚子,488,174.7,34.6,278.7,食品二班,57.11
2026-04-13,草莓,177,14.9,6.1,156,食品三班,88.14
2026-01-05,鳳梨,361,110.8,42.7,207.5,食品一班,57.48
2026-03-13,柚子,106,35.6,4.5,65.9,食品二班,62.17
2026-02-24,芒果,417,78,13,326,食品二班,78.18
2026-05-16,奇異果,179,24.8,3.2,151,食品三班,84.36
2026-04-25,蘋果,241,21.4,4.4,215.2,食品二班,89.29
2026-01-30,草莓,315,36.8,10.4,267.8,食品二班,85.02
2026-05-01,柚子,368,106.9,43.3,217.8,食品三班,59.18
2026-03-05,草莓,443,46.2,18.6,378.2,食品二班,85.37
2026-04-12,奇異果,446,77.9,14.5,353.6,食品三班,79.28
2026-01-14,柚子,324,108.7,36.1,179.2,食品一班,55.31
2026-05-12,奇異果,273,46,9.7,217.3,食品二班,79.6
2026-01-02,草莓,364,37.3,7.2,319.5,食品三班,87.77
2026-02-11,柚子,169,50.5,15.9,102.6,食品二班,60.71
2026-02-13,蘋果,428,45.2,5.3,377.5,食品一班,88.2
2026-04-02,蘋果,141,11.6,4.3,125.1,食品二班,88.72
2026-01-27,鳳梨,229,64.6,26.9,137.5,食品二班,60.04
2026-04-24,草莓,122,15.6,1.9,104.5,食品一班,85.66
2026-03-31,奇異果,397,61,25.5,310.5,食品二班,78.21
2026-01-08,柚子,218,64,13.8,140.2,食品二班,64.31
2026-05-06,蘋果,345,28.7,10,306.3,食品一班,88.78
2026-03-12,鳳梨,349,134.6,22,192.4,食品三班,55.13
2026-04-19,芒果,362,59.9,22.9,279.2,食品三班,77.13
2026-04-01,柚子,380,123.9,40.7,215.4,食品二班,56.68
2026-03-30,草莓,221,13.6,5.2,202.2,食品三班,91.49
2026-02-08,草莓,178,20.7,4.8,152.5,食品一班,85.67
2026-01-08,芒果,435,70.8,20.9,343.3,食品三班,78.92
2026-03-31,芒果,415,69.2,14.3,331.5,食品二班,79.88
2026-05-09,草莓,113,12.4,3.5,97.1,食品二班,85.93
2026-03-18,芒果,329,61.2,19.2,248.6,食品一班,75.56
2026-01-07,柚子,182,61.8,12.1,108.1,食品一班,59.4
2026-01-20,芒果,415,68.5,26.7,319.8,食品二班,77.06
2026-03-17,奇異果,424,54.4,22.7,346.9,食品三班,81.82
2026-02-07,鳳梨,154,49.9,9.8,94.3,食品一班,61.23
2026-03-19,草莓,202,16.1,1.8,184.1,食品一班,91.14
2026-02-13,草莓,317,19.6,7.4,290,食品二班,91.48
2026-01-16,草莓,206,15.5,3.5,187,食品二班,90.78
2026-02-25,鳳梨,195,54.3,17.6,123.1,食品三班,63.13
2026-04-02,鳳梨,159,51.5,15.8,91.7,食品一班,57.67
2026-01-24,奇異果,178,30.7,10.8,136.5,食品二班,76.69
2026-01-27,鳳梨,402,127.5,22.4,252.1,食品一班,62.71
2026-02-21,芒果,412,73.8,28.8,309.4,食品二班,75.1
2026-04-22,鳳梨,298,113.8,20.3,163.9,食品一班,55
2026-02-19,奇異果,311,56,15.6,239.4,食品三班,76.98
2026-04-28,奇異果,421,73.8,24.1,323.1,食品二班,76.75
2026-05-29,鳳梨,495,140.6,36.3,318.1,食品三班,64.26
2026-02-06,芒果,292,55.5,6.7,229.8,食品三班,78.7
2026-03-07,蘋果,301,37.9,4.7,258.4,食品一班,85.85
2026-02-19,草莓,334,33.2,6.4,294.4,食品一班,88.14
